Start Time,End Time,Duration,Number of Entries,Hour of Day,Weekend,Tailgating Detected,Human Feedback,Generation Logic,Human Explanation,Outlier Flag
2025-04-21 09:31:00,2025-04-21 09:31:04,4.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 10:02:00,2025-04-21 10:02:52,52.0,1,10,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-21 10:16:00,2025-04-21 10:16:08,8.0,1,10,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 11:17:00,2025-04-21 11:17:54,54.0,1,11,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-21 11:20:00,2025-04-21 11:20:29,29.0,1,11,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-21 11:48:00,,,197,11,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-21 12:19:00,2025-04-21 12:19:08,8.0,1,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 12:25:00,2025-04-21 12:25:20,20.0,1,12,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 12:28:00,2025-04-21 12:28:08,8.0,1,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 12:30:00,2025-04-21 12:30:46,46.0,1,12,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-21 12:47:00,2025-04-21 12:47:22,22.0,1,12,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-21 12:48:00,2025-04-21 12:48:18,18.0,1,12,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-21 12:54:00,2025-04-21 12:54:16,16.0,1,12,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-21 13:01:00,2025-04-21 13:01:07,7.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 13:26:00,2025-04-21 13:26:20,20.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 13:37:00,2025-04-21 13:37:17,17.0,1,13,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-21 13:40:00,2025-04-21 13:40:17,17.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 13:42:00,2025-04-21 13:42:09,9.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 13:44:00,2025-04-21 13:44:07,7.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 13:49:00,2025-04-21 13:49:20,20.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 14:04:00,2025-04-21 14:04:17,17.0,1,14,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-21 14:11:00,2025-04-21 14:11:03,3.0,1,14,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 14:22:00,2025-04-21 14:22:59,59.0,1,14,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-21 14:26:00,2025-04-21 14:26:03,3.0,2,14,0,1,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 14:26:00,2025-04-21 14:26:17,17.0,2,14,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 14:44:00,,,196,14,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-21 14:55:00,2025-04-21 14:55:20,20.0,1,14,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-21 15:10:00,2025-04-21 15:10:20,20.0,1,15,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 15:19:00,2025-04-21 15:19:12,12.0,1,15,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-21 15:28:00,2025-04-21 15:28:10,10.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 15:35:00,2025-04-21 15:35:15,15.0,1,15,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 15:39:00,2025-04-21 15:39:20,20.0,1,15,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 15:49:00,2025-04-21 15:49:09,9.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 15:51:00,2025-04-21 15:51:20,20.0,1,15,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 16:04:00,2025-04-21 16:04:15,15.0,1,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 16:13:00,2025-04-21 16:13:07,7.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 16:31:00,2025-04-21 16:31:18,18.0,2,16,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-21 16:31:00,2025-04-21 16:31:26,26.0,2,16,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-21 17:36:00,2025-04-21 17:36:03,3.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 17:49:00,2025-04-21 17:49:10,10.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 21:10:00,2025-04-21 21:10:15,15.0,1,21,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-21 21:33:00,2025-04-21 21:33:08,8.0,1,21,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-21 22:11:00,2025-04-21 22:11:16,16.0,1,22,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-22 09:48:00,2025-04-22 09:48:08,8.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 09:55:00,2025-04-22 09:55:08,8.0,1,9,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-22 10:32:00,2025-04-22 10:32:19,19.0,1,10,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-22 10:46:00,2025-04-22 10:46:04,4.0,1,10,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 10:55:00,2025-04-22 10:55:19,19.0,1,10,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-22 11:24:00,2025-04-22 11:24:28,28.0,1,11,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-22 11:37:00,2025-04-22 11:37:10,10.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 11:45:00,2025-04-22 11:45:08,8.0,2,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 11:45:00,2025-04-22 11:45:09,9.0,2,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 11:48:00,2025-04-22 11:48:06,6.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 11:57:00,2025-04-22 11:57:04,4.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 14:26:00,2025-04-22 14:26:20,20.0,1,14,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-22 15:22:00,2025-04-22 15:22:09,9.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 16:07:00,2025-04-22 16:07:15,15.0,1,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-22 16:26:00,,,195,16,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-22 16:29:00,2025-04-22 16:29:24,24.0,1,16,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-22 16:51:00,2025-04-22 16:51:08,8.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-22 17:10:00,2025-04-22 17:10:15,15.0,1,17,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-22 18:30:00,2025-04-22 18:30:16,16.0,1,18,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-23 09:42:00,2025-04-23 09:42:09,9.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 10:53:00,2025-04-23 10:53:15,15.0,1,10,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-23 11:03:00,2025-04-23 11:03:09,9.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 11:37:00,2025-04-23 11:37:06,6.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 11:47:00,2025-04-23 11:47:39,39.0,1,11,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-23 12:08:00,2025-04-23 12:08:04,4.0,2,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 12:08:00,2025-04-23 12:08:09,9.0,2,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 12:14:00,2025-04-23 12:14:07,7.0,1,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 14:03:00,2025-04-23 14:03:54,54.0,1,14,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-23 14:28:00,2025-04-23 14:28:19,19.0,1,14,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-23 17:21:00,2025-04-23 17:21:07,7.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 18:40:00,2025-04-23 18:40:09,9.0,1,18,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-23 19:51:00,2025-04-23 19:51:05,5.0,1,19,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-24 08:59:00,2025-04-24 08:59:10,10.0,1,8,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-24 09:25:00,2025-04-24 09:25:10,10.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-24 09:54:00,2025-04-24 09:54:18,18.0,1,9,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-24 11:00:00,2025-04-24 11:00:09,9.0,1,11,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-24 13:51:00,2025-04-24 13:51:03,3.0,1,13,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-24 15:22:00,2025-04-24 15:22:19,19.0,1,15,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-24 15:55:00,2025-04-24 15:55:57,57.0,1,15,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-24 17:33:00,2025-04-24 17:33:04,4.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-25 09:27:00,2025-04-25 09:27:17,17.0,1,9,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-25 09:54:00,2025-04-25 09:54:19,19.0,1,9,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-25 09:56:00,2025-04-25 09:56:20,20.0,1,9,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-25 11:02:00,2025-04-25 11:02:19,19.0,1,11,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-25 12:11:00,2025-04-25 12:11:16,16.0,1,12,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-25 14:58:00,2025-04-25 14:58:23,23.0,1,14,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-25 15:10:00,2025-04-25 15:10:04,4.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-25 15:42:00,2025-04-25 15:42:08,8.0,1,15,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-25 16:01:00,2025-04-25 16:01:05,5.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-25 16:17:00,2025-04-25 16:17:16,16.0,2,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-25 16:17:00,2025-04-25 16:17:19,19.0,2,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-25 16:43:00,2025-04-25 16:43:04,4.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-25 16:45:00,2025-04-25 16:45:11,11.0,1,16,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-25 17:34:00,2025-04-25 17:34:08,8.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-25 17:41:00,2025-04-25 17:41:15,15.0,1,17,0,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-26 10:09:00,2025-04-26 10:09:09,9.0,1,10,1,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-26 11:05:00,2025-04-26 11:05:30,30.0,1,11,1,1,1,tailgating,Multiple unauthorized entries after a single swipe.,0
2025-04-26 12:50:00,2025-04-26 12:50:15,15.0,1,12,1,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-26 15:44:00,2025-04-26 15:44:49,49.0,1,15,1,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-26 15:53:00,2025-04-26 15:53:03,3.0,1,15,1,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-26 16:58:00,2025-04-26 16:58:16,16.0,1,16,1,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-27 11:47:00,2025-04-27 11:47:19,19.0,1,11,1,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-28 00:07:00,2025-04-28 00:07:03,3.0,1,0,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 00:40:00,2025-04-28 00:40:09,9.0,1,0,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 06:08:00,2025-04-28 06:08:19,19.0,1,6,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 07:49:00,2025-04-28 07:49:15,15.0,1,7,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 09:32:00,2025-04-28 09:32:09,9.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 09:42:00,2025-04-28 09:42:06,6.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 09:45:00,2025-04-28 09:45:06,6.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 09:50:00,2025-04-28 09:50:06,6.0,1,9,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 09:59:00,,,194,9,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-28 10:10:00,2025-04-28 10:10:03,3.0,1,10,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 10:11:00,2025-04-28 10:11:19,19.0,1,10,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-28 10:40:00,,,194,10,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-28 11:35:00,2025-04-28 11:35:20,20.0,1,11,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-28 11:40:00,2025-04-28 11:40:15,15.0,1,11,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 11:45:00,,,194,11,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-28 12:26:00,2025-04-28 12:26:04,4.0,1,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 12:37:00,2025-04-28 12:37:06,6.0,1,12,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 12:41:00,2025-04-28 12:41:46,46.0,1,12,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-28 13:13:00,2025-04-28 13:13:18,18.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 13:26:00,,,194,13,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-28 13:32:00,2025-04-28 13:32:18,18.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 13:58:00,2025-04-28 13:58:19,19.0,1,13,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 14:29:00,2025-04-28 14:29:18,18.0,1,14,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 14:38:00,2025-04-28 14:38:09,9.0,1,14,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 14:51:00,,,194,14,0,1,0,normal,"Single authorized entry, door closed properly.",1
2025-04-28 14:58:00,2025-04-28 14:58:19,19.0,1,14,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-28 15:07:00,2025-04-28 15:07:29,29.0,1,15,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-28 15:13:00,2025-04-28 15:13:17,17.0,1,15,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 15:35:00,2025-04-28 15:35:20,20.0,1,15,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 15:42:00,2025-04-28 15:42:46,46.0,1,15,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-28 15:49:00,2025-04-28 15:49:35,35.0,1,15,0,1,0,door_held_open,Door intentionally held open for multiple people.,0
2025-04-28 16:02:00,2025-04-28 16:02:15,15.0,1,16,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-28 16:03:00,2025-04-28 16:03:17,17.0,1,16,0,1,0,guest_entry,Guest was invited; system flagged as tailgating.,0
2025-04-28 16:35:00,2025-04-28 16:35:06,6.0,1,16,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 16:55:00,2025-04-28 16:55:20,20.0,1,16,0,1,0,janitor_cart,Janitor with cart falsely flagged as tailgating.,0
2025-04-28 17:26:00,2025-04-28 17:26:07,7.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 17:29:00,2025-04-28 17:29:05,5.0,1,17,0,0,0,normal,"Single authorized entry, door closed properly.",0
2025-04-28 17:39:00,,,194,17,0,1,0,normal,"Single authorized entry, door closed properly.",1
